"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","253687150.837989","314134078.212291","424469273.743016","472234636.871508","581284916.201117","1369385474.86033","1654860335.19553","1771787709.4972","1930558659.21788","2008715083.79888","2524748603.35195","2565139664.80447","2097374301.67598","1288592178.77095","1868603351.9553","2067949720.67039","1480949720.67039","1798653631.28492","4723581005.58659","5766391335.85861","6088447715.12383","6768659217.8771","7131452513.96648","3549217877.09498","1870558659.21788","6901564245.81005","3187206703.91062","2200054067.88478","2344989840.80661","2486109471.38425","2396605686.64115","2363853220.49615","2620537982.79969","2651804815.03524","1521367981.31053","2268562458.00657","2956071608.91972",
"Africa Eastern and Southern","AFE","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","22245737848.8627","25824200690.6751","33693645593.1635","46101488217.8861","39515014598.784","34673115599.2731","35609373532.3988","33874362904.487","32283812446.8062","35676277874.0394","44676059705.4582","46828428206.641","46716272067.2629","48864765238.6932","47751762882.7488","50257460621.3038","52581309663.7657","55953801282.1122","63450968055.7968","67027017870.7622","69426429061.1755","64296209347.0525","65617466203.467","72909498859.2803","70897476650.4933","74741080196.4921","92346857487.6552","115398605241.412","144945216920","174928996507.277","217185881488.566","255330666493.291","197306682442.711","257854134086.08","303344728907.573","297251953878.082","303328120022.304","296585363684.377","240390348415.711","228404417053.557","260512412307.739","283944547400.867","271975841222.535","227972579503.248","316704115658.26","353341658032.248",
"Afghanistan","AFG","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","615500000","792700000","766300000","798000000","806200000","841500000","697400000","550100000","593500000","546700000","280600000","","","","","","","","","","","","","","","","","","","1993642469.72543","2202037379.66668","2746604195.45976","3191479093.72125","2480275796.60145","1584641700.70405","2177473479.00354","1704288648.84221","1375850797.51848","1452434678.48798","1898906244.65753","1868568055.70031","1716706830.94261","","",
"Africa Western and Central","AFW","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","23908715110.386","22071142647.0454","32265445651.1712","46612901718.7068","36067627271.4354","26782225718.5183","23863158721.8567","26381804215.5109","27805220374.1591","17626704547.5946","21121459532.1089","20559878465.5759","23292424597.1392","33145683994.9022","30758150440.3087","30259848261.9582","27089868597.3147","25272187030.3111","20303832558.8541","24299065245.9705","23012350162.2592","20083995243.9516","34678835809.0308","45658436873.6388","43230266914.5506","42499951896.1655","57402629810.491","74946206346.2829","103469211949.119","114473531101.88","129800993073.233","165023391672.606","123475169860.82","161016097357.453","199380271185.608","197858133092.729","199832314362.796","183608560114.812","130065563947.572","119247907056.237","144884886493.597","171307895773.413","182068541701.503","143476229873.931","171429366819.448","",
"Angola","AGO","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4003000000","3635600000","3991351000","3017600000","3179800000","3851690000","5405999000","5257430000","3699170000","5333650000","8222360000","6759790000","8552372416.6","9721520615.5","13830779466","24311987562.29","33491517668.21","45329462968.22","64665690436.56","41582480380.92","51585764935.92","68252355245.6919","72133100315.0915","70380501721.54","61496795044.6521","34603647352.9644","28640556800.6453","35837464384.8497","41837360214.5157","35872743552.7913","21540234145.7089","34029794548.2374","50297120491.8727",
"Albania","ALB","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","385500000","442000000","387800000","361700000","338800000","320800000","328100000","334600000","375100000","434300000","","83000000","92900000","254100000","275500000","375700000","456600000","160780000","223200000","475000000","670400000","820700000","815450000","1041539222.08549","1453552162.90299","1687443389.37208","2201687890.04002","2846824201.34943","3755349944.58024","3438619106.27148","3703040658.0202","4078140323.27195","3797531105.78431","4070992798.3488","4178282911.29955","3519547545.56681","3892417842.21763","4605004261.4331","5247401479.04404","5292424070.62872","3846951283.85033","6080531352.11184","7682414296.91939",
"Andorra","AND","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2906978116.32762","2392121507.76839","2889649287.98143","",
"Arab World","ARB","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","4691000000","6738000000","7836000000","9916000000","11202000000","11805000000","9755000000","9764000000","9909000000","10329000000","8841000000","8406000000","11360000000","12042000000","16654000000","16132000000","17740679690.7487","18821539432.6","22835777307","29324812447.025","32868611331.0929","36490952850.2885","37389629537.7319","34072430573.5184","38657070742.8605","36474696527.7566","32093670000","37439900000","43478020000","51204020000","60213128417.1119","72746977098.8969","87208615201.963","69866766023.3485","83888208132.8251","100852552853.974","96586241540.6775","92034825145.1632","84398577454.3413","72381928419.3621","74209111524.7498","78184715522.5849","83420042594.2392","86292608863.2293","68242519024.592","89964180802.677","106540747941.877",
