"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","156424.581005587","","29713.2392925923","71831.445994457","55865.9217877095","55865.9217877095","","","","","","","","","","932986.795265326","1750298.46454458","153605.366917103","700088.484163462","1001564.92450125",
"Africa Eastern and Southern","AFE","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","2799998.88112045","1399999.44056022","2799998.88112045","2799998.88112045","2799998.88112045","4199998.32168067","5599997.76224089","2799998.88112045","4199998.32168067","6985476.14225652","10251867.9728003","5773073.196048","7377986.34929872","8305088.20645571","10349999.991","11144831.9736102","10978241.3750546","12920745.019701","19478383.8006111","20176922.1496437","20664645.2906925","19119271.9700497","14761444.3364422","11357359.4320882","13285289.5684024","23549533.6038327","14783768.5050057","42056061.6448521","30598167.9917569","104445468.440819","62848125.6414902","76663057.5750853","79263830.671328","68604359.9001978","107522455.020004","91895364.4398549","88828272.9107401","64143929.8695016","78800884.320691","36980484.6642858","34239386.6243244","43985632.3073442","286890640.851366","160418469.910011","1459557939.88036","169172107.330753","294437435.795326","224715679.576772","182704417.657163","231493187.331627","217655481.227918","233044039.963388","255938522.501541","262142804.754639","228230920.797548","272195003.817054","314298586.044117","242242547.499396","189695878.317129","229146059.384665","284858082.395274",
"Afghanistan","AFG","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","643174.51","744281.07","626710.87","433679.25","","","463662.430553814","12809.26","","","","5555.67146925886","335.19545813078","","",
"Africa Western and Central","AFW","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","41544.686682381","46660.7468989429","41849.6727980134","40703.405884923","44315.2683454892","94019.5816431892","94661.3124054691","22333572.983764","10643797.1740831","7925614.74046772","8628503.09981687","912605.832284441","1963581.88821057","865119.364919978","1142769.84065489","1504663.04723273","1762989.63816211","1308601.1641066","14324879.6176816","1247594.96986943","1228744.24588109","1272432.99464197","366071.378418687","595792.364569889","71788.6974658794","3352321.67087245","2479276.25885428","350001.64605324","887876.728217688","634631.381073454","1439619.4701463","801048.950258312","491936.053197174","1021741.58907344","2570892.27326474","2707809.79758951","3506795.80089912","3900282.89996167","5551862.70189208","6513644.7458588","10149433.3045863","8572491.63501025","9186263.36925737","6365730.12374979","112807609.933521","85700848.05989","55468399.277495","21103979.4455847","29645.4840074564",
"Angola","AGO","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14100000","18300000","7421000","16587000","5960000","9480000","2790000","15750000","4420000","","","226800000","49430571.11","1339588441.64","12021694.12","12000000","","","","16332320.86","18843635.45","21944072.217","17490960","10997630","11569560","8226880","516010","","","",
"Albania","ALB","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5321983.91","15410498.39","505314.458021101","723627.416065902","7530000","40441133.4106941","17098527.1570284","739036.184704185","13339406.1051136","1650606.39559554","1185804.07535826","740461.814541585","1945283.40574263","2703932.26362696","10991466.0499114","14949446.678663","17149047.0587119","15865804.9184837","19332528.3225106","13222816.6646375",
"Andorra","AND","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","1233810.09842321","452559.080276074","1110285.59345826","479999.52011568","769401.583155593","1270116.79814651","2320052.91054409","830147.986468612","1828070.44377977","1248505.22247596","6857146.83247078","2306566.48363866","3110336.18547174","1218152.91473539","12113791.7974301","5384885.99522934","4134818.03929226","1405501.95452616","5807257.65610298","43379176.6685663","50984681.5121339","61075577.2589918","59092853.2161149","73297584.576223","62633819.2531487","99847249.8781775","78702515.7125305","74893529.5256933","165457003.008727","133984587.657052","174411828.808832","318268578.534546","157473828.154303","41334881.8671488","63801539.9242992","48832292.9074367","53838247.2605413","30495082.1401734","102773106.347284","64825403.0959116","65533309.552375","74105128.4105739","80221164.3816608","68761195.6286408","72024947.8631719","55017220.2072813","232250974.075156","159475635.355735",
"United Arab Emirates","ARE","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","23000000","14000000","4000000","3000000","4000000","6000000","12000000","2000000","4000000","8000000","16000000","14000000","6000000","7000000","4000000","4000000","5700000","6960000","8700000","12400000","15554642.4928916","17579252.9146114","26332381.7137999","25406457.6116032","36756558.0114996","46775129.5457136","33450000","51500000","61210000","51080000","80512422.8122706","96694187.4534156","99367650.4020731","105965489.617584","152187821.078051","155396388.283537","158152120.0527","179902421.57","174205013.476897","161745946.96071","168807424.709248","356498295.973946","321051040.765632","284486041.246327","209352775.990127","204996325.59504","204704856.723768",
