"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.3229904174805","","","","","","","","","","91.3757781982422","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","6.69999980926514","","","","4.48156023025513","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.5894508361816","","","","","","15.2469596862793","21.0254802703857",
"Africa Western and Central","AFW","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.9981002807617","43.405158996582","","","","","","","",
"Albania","ALB","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.3976516723633","","","","","","","92.3957138061523","","","95.8474731445312","95.5083923339844","","","","","96.5127563476562","","","","","",
"Andorra","AND","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.3892822265625","97.7652435302734","93.9136276245117","93.0027923583984","","","","","","","","96.5344924926758","96.4553298950195","96.5188369750977","","","","","","99.1504211425781",
"Arab World","ARB","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.4543304443359","","","","","","","","","","","82.9109878540039","88.431266784668","91.0054321289062","92.9965362548828","","92.6860809326172","",
"Argentina","ARG","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","49.9000015258789","","","","","","","","","","59.5","","","","","","","","","","","71.9628677368164","","","","","","","","","","80.8716888427734","","89.9700927734375","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.8970794677734","","","","","","","","","","99.3595504760742","","","","99.4557876586914","99.0897674560547","99.3582916259766","","","99.3389282226562","","",
"American Samoa","ASM","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","83.9684524536133","","","","","","73.1999969482422","","","","","","","","","","81.3000030517578","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.8681335449219","","99.9028167724609","","","","","","","","","","",
"Austria","AUT","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.984619140625","","","","","","","","98.3349761962891","98.3565902709961","98.3798065185547","98.4496612548828","98.4481582641602","98.4666290283203","98.5252075195312","98.5376586914062","98.506477355957","98.4961471557617","98.4994583129883","98.4909210205078","98.5110015869141","","","",
"Burundi","BDI","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.930890083313","","","17.9970207214355","","","","","",
"Belgium","BEL","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","94.4858474731445","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.4834671020508","","93.0106506347656","93.2641372680664","92.6636505126953","92.9185104370117","92.4942398071289","93.0323715209961","93.8728332519531","95.0690612792969","95.6992492675781","95.8703308105469","","96.7423629760742","","","",
"Benin","BEN","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.6630897521973","","25.6372299194336","","","",
"Burkina Faso","BFA","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.2709999084473","5.16847991943359","","","","","","","","","","","14.7087001800537","17.2180690765381","","","",
"Bangladesh","BGD","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.2415084838867","","","","","","","","","","48.8796615600586","49.9201011657715","47.6205596923828","48.7911605834961","54.7452392578125","56.3039588928223","57.4410705566406","58.3957481384277","61.0552597045898","62.870059967041","","",
"Bulgaria","BGR","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","25.8722896575928","","","","","","","","","","","","","","","","","82.7248764038086","","","","","","","","","96.9907836914062","","","","","","","","","","","","","","","","","","","","","",
"Bahrain","BHR","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","17.1739501953125","","","","","","","","","","","","","","","","","","","","35.4000015258789","","","","","","","","","","80.3208084106445","","","","","","","","","68.296989440918","","","","","","76.7471084594727","79.6901473999023","87.0229034423828","","93.0545425415039","","",
"Bahamas, The","BHS","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.4959335327148","","","","","","","","","","95.0777130126953","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.0996322631836","74.3497161865234","","","78.0453796386719","79.8734512329102","83.7491073608398","","87.6067810058594","","91.4224395751953","","",
"Belarus","BLR","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.5060272216797","","","","","","","","","","99.7885513305664","","","",
"Belize","BLZ","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.3176422119141","","","","","99.7934417724609","","","","","85.371696472168","","","","","81.4364471435547","","",
"Bermuda","BMU","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.9355316162109","","","","","","","","50.9700012207031","49.5800018310547","48.9300003051758","","48.7599983215332","52.5900001525879","54.1399993896484","56.3400001525879","56.3600006103516","58.2400016784668","","60.939998626709","62.4700012207031","64.4000015258789","61.25","62.6599998474121","63.0499992370605","63.4199981689453","64.7799987792969","68.1999969482422","67.629997253418","69.3899993896484","",
"Brazil","BRA","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","30.8742408752441","","","","","","14.3000001907349","","","","16.7173004150391","","","","","","","","","","","","","","","","","","","","","66.7600021362305","68.1100006103516","69.1399993896484","69.7399978637695","70.629997253418","72.2600021362305","73.1600036621094","74.0400009155273","74.9599990844727","","75.3600006103516","77.6500015258789","77.9400024414062","78.5500030517578","79.2200012207031","81.4800033569336","82.6399993896484","83.6900024414062","84.0800018310547","85.7300033569336","86.0299987792969","",
"Barbados","BRB","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.3725967407227","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.290641784668","","","","","","","","","","","",
"Bhutan","BTN","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.4290790557861","","","","","32.3560791015625","","","","","",
"Botswana","BWA","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","5.20107984542847","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","10.1191902160645","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.8433303833008","","","",
"Canada","CAN","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","80.1999969482422","","","","","","79.6999969482422","","","","","83.7214736938477","","","","","93.778938293457","","","","","95.0614929199219","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.7253799438477","99.6914672851562","99.6673431396484","","99.6746520996094","99.5933609008789","","","",
"Channel Islands","CHI","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.25","","","82.0299987792969","87.0151901245117","","82.0299987792969","88.9410018920898","85.6004104614258","83.370002746582","84.666259765625","84.1999969482422","","85.3499984741211","","86.9700012207031","","87.129997253418","","","89.3099975585938","","",
"China","CHN","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","55.5263710021973","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.7999801635742","","","","","","","","","","57.4625511169434","","","","","","","","","","","","","","","","35.6887283325195","","34.2814598083496","","","","","","",
"Cameroon","CMR","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.830379486084","","","36.3095397949219","","","","","","","","60.223518371582","","","","",
"Congo, Dem. Rep.","COD","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.7878913879395","","","63.5596313476562","","61.997631072998","","","","",
