"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.0713577270508","","","","","","","","","","96.7197799682617","","","","","","","","","","98","","",
"Africa Eastern and Southern","AFE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.1500205993652","47.675651550293","48.0540885925293","48.7437210083008","48.6405792236328","49.1378517150879","49.7175216674805","50.5668907165527","51.0756301879883","51.8733787536621","52.9505805969238","53.2961311340332","54.1609802246094","54.9210586547852","56.0166702270508","55.3688011169434","56.059268951416","57.3186798095703","55.9393615722656","54.014030456543","55.0689888000488","55.5635795593262","56.439510345459","57.1015014648438","59.7411193847656","61.5093116760254","62.6071815490723","63.2671318054199","64.0143890380859","65.0719299316406","65.3260269165039","65.7786331176758","67.2897796630859","67.5369873046875","67.4540100097656","67.54541015625",
"Afghanistan","AFG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","4.98746013641357","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.0178394317627","","","","","","","","","","22.6007804870605","",
"Africa Western and Central","AFW","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","28.558349609375","28.8379497528076","29.6349792480469","30.4381904602051","31.2800102233887","32.1574592590332","34.2940292358398","33.9625816345215","34.9044418334961","35.8717002868652","36.300178527832","37.305850982666","38.3941497802734","39.5993499755859","40.6447105407715","35.629280090332","37.1740303039551","38.0948181152344","38.9387702941895","40.1124496459961","40.3698616027832","49.351978302002","39.8504409790039","40.0038909912109","40.382381439209","41.2178115844727","42.0280494689941","42.7567481994629","43.4412117004395","44.6270599365234","45.5737800598145","46.3670082092285","47.3997116088867","51.0197105407715","51.0413818359375","51.2462310791016","51.6556091308594","51.9770088195801",
"Angola","AGO","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.1944885253906","","","","","","","","","","","","","53.4072113037109","","","","","","","","62.5",
"Albania","ALB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.2522735595703","","","","","","","94.6818084716797","","","95.6914825439453","96.1360702514648","","","","","","","","","","98.3000030517578",
"Andorra","AND","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","31.767240524292","32.3388481140137","33.0236587524414","33.7079391479492","34.4315185546875","34.8901481628418","35.7852096557617","36.7098007202148","37.5583190917969","38.4863700866699","39.5514183044434","40.5765991210938","41.6636085510254","42.7242202758789","43.9661293029785","44.3307914733887","45.3520011901855","46.615779876709","48.2674789428711","49.3460388183594","50.7822799682617","52.1401901245117","53.4572410583496","54.7634010314941","56.1853981018066","58.5041694641113","59.4965400695801","59.5534706115723","59.4571418762207","60.0916786193848","61.2752113342285","59.9205513000488","61.1851806640625","63.2661399841309","67.0943832397461","64.2285614013672","68.0543212890625","66.6015701293945","68.4434280395508","69.6344223022461","66.4708862304688","66.9413528442383","67.5015869140625","67.8748931884766","67.8338012695312",
"United Arab Emirates","ARE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","38.124870300293","","","","","","","","","","68.6612777709961","","","","","","","","","","","","","","","","","","","","91.4747467041016","","","","","","","","","","","","","","97.1254272460938","","97.170768737793","97.5801467895508",
"Argentina","ARG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","93.5808868408203","","","","","","","","","","","95.9169998168945","","","","","","","","","","97.1934127807617","","","","","","","","","","","","","","","","","","","","","",
